dataset_source,phase,type,wt_pct,wavelength_(nm),mms1,mms2,jsc_mars-1,mgs-1_prototype,temperature_(¡c),m/z_18_(h2o),m/z_32_(o2),m/z_44_(co2),m/z_64_(so2),mass_(%),diameter_(microns),%_retained,%_channel
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Plagioclase,Crystalline,27.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Pyroxene,Crystalline,20.3,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Olivine,Crystalline,13.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Magnetite,Crystalline,1.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hematite,Crystalline,1.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Anhydrite,Crystalline,0.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Quartz,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ilmenite,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Basaltic Glass,Amorphous,22.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hydrated Silica (Opal),Amorphous,5.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Mg-sulfate,Amorphous,4.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ferrihydrite,Amorphous,1.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Fe-carbonate,Amorphous,1.4,,,,,,,,,,,,,,
fig4_spectralData.csv,,,,462.0,0.0939884,0.088766,0.0372024,0.110487,,,,,,,,,
fig4_spectralData.csv,,,,463.0,0.0941662,0.0888749,0.0374329,0.110686,,,,,,,,,
fig4_spectralData.csv,,,,464.0,0.0943169,0.088977,0.0376315,0.110957,,,,,,,,,
fig4_spectralData.csv,,,,465.0,0.0944864,0.0890786,0.0378013,0.111269,,,,,,,,,
fig4_spectralData.csv,,,,466.0,0.0947077,0.0891778,0.0379511,0.111537,,,,,,,,,
fig4_spectralData.csv,,,,467.0,0.0948764,0.0892581,0.0381409,0.111796,,,,,,,,,
fig4_spectralData.csv,,,,468.0,0.095038,0.0893601,0.0383252,0.112034,,,,,,,,,
fig4_spectralData.csv,,,,469.0,0.0952209,0.0894898,0.0384871,0.112266,,,,,,,,,
fig4_spectralData.csv,,,,470.0,0.0954095,0.0895848,0.0386661,0.112574,,,,,,,,,
fig4_spectralData.csv,,,,471.0,0.0955724,0.0896748,0.0389083,0.112839,,,,,,,,,
fig4_spectralData.csv,,,,472.0,0.0956942,0.0897397,0.0391846,0.113057,,,,,,,,,
fig4_spectralData.csv,,,,473.0,0.0957809,0.0897502,0.0394233,0.113289,,,,,,,,,
fig4_spectralData.csv,,,,474.0,0.0959689,0.0898836,0.0395968,0.113514,,,,,,,,,
fig4_spectralData.csv,,,,475.0,0.0961877,0.090051,0.039812,0.113753,,,,,,,,,
fig4_spectralData.csv,,,,476.0,0.0963608,0.0901519,0.0401419,0.114017,,,,,,,,,
fig4_spectralData.csv,,,,477.0,0.0965456,0.0902314,0.0404508,0.114255,,,,,,,,,
fig4_spectralData.csv,,,,478.0,0.0966837,0.0903013,0.0407627,0.114505,,,,,,,,,
